BuildingId,DisplayName,Description,IsCore,IsProduction,UnlockFurnaceLevel,OutputResource,Level,UpgradeWood,UpgradeMeat,UpgradeCoal,UpgradeIron,UpgradeSteel,UpgradeFireCrystal,UpgradeTimeSec,BaseProductionPerHour,MaxResidents,StorageCapacity,MaxTrainingQueue,HealRatePerHour,DailyRecruitCharges,CraftQueueSize
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,2,30,15,0,0,0,0,60,0,6,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,3,80,40,5,0,0,0,120,0,8,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,4,150,70,15,5,0,0,300,0,10,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,5,300,120,30,10,0,0,600,0,12,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,6,500,200,50,20,5,0,1200,0,14,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,7,800,350,80,35,10,0,1800,0,16,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,8,1200,500,120,50,15,1,2400,0,18,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,9,1800,750,180,80,25,2,3600,0,20,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,10,2500,1000,250,120,40,3,5400,0,22,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,11,3500,1500,350,180,60,5,7200,0,24,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,12,5000,2000,500,250,80,8,10800,0,26,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,13,7000,3000,700,350,120,12,14400,0,28,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,14,10000,4000,1000,500,160,16,21600,0,30,0,0,0,0,0
Furnace,大熔炉,营地核心建筑决定温度和人口上限,true,false,0,,15,14000,5500,1400,700,220,22,32400,0,32,0,0,0,0,0
Lumberyard,伐木场,生产木材,false,true,1,Wood,1,20,10,0,0,0,0,30,30,0,0,0,0,0,0
Lumberyard,伐木场,生产木材,false,true,1,Wood,2,50,25,5,0,0,0,60,50,0,0,0,0,0,0
Lumberyard,伐木场,生产木材,false,true,1,Wood,3,100,50,15,0,0,0,120,80,0,0,0,0,0,0
Lumberyard,伐木场,生产木材,false,true,1,Wood,4,180,90,30,10,0,0,300,120,0,0,0,0,0,0
Lumberyard,伐木场,生产木材,false,true,1,Wood,5,300,150,50,20,0,0,600,180,0,0,0,0,0,0
Lumberyard,伐木场,生产木材,false,true,1,Wood,6,500,250,80,35,5,0,1200,260,0,0,0,0,0,0
Lumberyard,伐木场,生产木材,false,true,1,Wood,7,800,400,130,55,10,1,1800,370,0,0,0,0,0,0
Lumberyard,伐木场,生产木材,false,true,1,Wood,8,1200,600,200,80,15,2,2700,520,0,0,0,0,0,0
Lumberyard,伐木场,生产木材,false,true,1,Wood,9,1800,900,300,120,25,3,3600,730,0,0,0,0,0,0
Lumberyard,伐木场,生产木材,false,true,1,Wood,10,2500,1300,450,180,40,5,5400,1020,0,0,0,0,0,0
HuntingHut,狩猎小屋,生产生肉,false,true,2,RawMeat,1,25,5,0,0,0,0,30,20,0,0,0,0,0,0
