EventId,EventTitle,EventDescription,TriggerType,MinIntervalMin,MaxIntervalMin,Weight,MaxTriggerCount,DurationSec,Choices,ConsequenceText
event_rescue,冰原求救信号,"你收到一段微弱的无线电信号:""这里是探险队E-7...我们被困在冰谷中...请救救我们...""信号源距离营地不远。",Timer,5,20,10,-1,0,"派出救援队(消耗生肉x20+木材x30):获得1-2位幸存者,可能获得英雄线索|发送信号坐标(消耗木材x10):获得1位幸存者|无视信号(不做任何事):幸存者满意度-5","信号消失...或许已经太迟了。幸存者满意度-5。"
event_blizzard,暴风雪预警,天空骤然阴暗狂风夹杂着冰粒横扫营地上空。柴薪储备告急火炉功率不足。这场暴风雪预计持续5-10分钟营地温度将下降10度。你需要立即做出决策。,Timer,15,45,15,-1,0,"储备柴薪应对(消耗木材x50):暴风雪持续4分钟(缩短版)|激活火晶提升火炉功率(消耗火晶x3):完全抵御暴风雪不影响温度|硬扛不做任何措施:暴风雪持续10分钟温度-10℃","什么都没做。暴风雪肆虐10分钟。营地温度骤降10℃。"
event_merchant,冰上游商,一位披着厚重皮草的游商拉着雪橇停在营地门口。他的货物中有一些稀有物资也许可以用常见资源交换。,Timer,8,30,12,-1,0,"与他交易(打开游商界面):刷新游商商品列表|讨价还价(消耗木材x20):获得更优惠的交换比例|赶走商队:失去本次交易机会","被赶走的游商骂骂咧咧地离开了。"
event_conflict,幸存者内讧,营地里发生了争执--以老杰克为首的""资源优先派""认为应该集中物资升级生产设施而以安娜为首的""生存优先派""坚持要先加厚营地外墙抵御可能的野兽袭击。双方剑拔弩张需要你做出裁决。,Timer,10,35,8,3,0,"支持资源优先派:资源产出+10%持续1小时(开发者)但生存派满意度-15|支持生存优先派:防御力+20%持续1小时但资源派满意度-15|居中调解(消耗资源各x15):双方满意度+5","你选择了回避矛盾。双方不欢而散但至少没有发生流血冲突。全员满意度-3。"
event_supply,冰层下的补给箱,侦察队在营地附近发现了一个被冰封的旧世界补给箱。箱体保存完好可能有大量物资。但冰层太厚需要工具和人力。,Timer,6,25,12,5,0,"全力挖掘(消耗木材x15):获得大量随机资源|谨慎破冰(消耗煤矿x10):获得中等量资源但更安全|放弃挖掘:不消耗不获得","冰层在阳光下融化得飞快。补给箱沉入了冰缝中。"
event_plague,疫病蔓延,医疗帐篷外排起了长队。一种未知的流感正在营地里传播已经有3名幸存者出现了高烧症状。如果不及时控制可能演变成大规模瘟疫。,Timer,12,40,8,3,0,"隔离病人(消耗木材x30+煤x15):仅30%幸存者感染|投入医疗资源(消耗铁x10+煤x20):完全治愈所有病人|放任不管:50%幸存者感染全员满意度-15","感染迅速扩散。一半幸存者倒下了。恐慌在营地里蔓延。全员满意度-15。"
event_hero_wander,路过的战士,一个浑身伤痕的战士出现在营地门口。他自称曾是城市守卫队的一员在城市陷落后一直在冰原上游荡。他看起来战力不俗但对你有所防备。,Timer,15,50,6,2,0,"盛情邀请加入(消耗生肉x50+木材x50):确定获得英雄|提供一顿热饭(消耗生肉x20):可能获得英雄线索或魂石|婉拒:什么事都不发生","战士孤身离去了。你知道这可能意味着在冰原上再也不会见到他。"
event_beast,野兽来袭,哨兵发出警报:一群饥饿的冰原狼群正朝营地扑来至少有8只成年个体。营地里的孩子们吓得大哭。,Timer,8,30,10,5,0,"派兵迎战:触发战斗(8x冰原狼Lv5)胜利获得生肉x80|用食物引开(消耗生肉x60):避免战斗但损失食物|加固防御(消耗木材x50):减少幸存者受伤概率20%","狼群冲破了简陋的栅栏。幸存者们奋力抵抗但造成了不小的混乱。3名幸存者受伤。"
event_ice_cave,冰窟探秘,探险途中你发现了一个巨大的冰窟入口。洞壁上的荧光菌类发出微蓝色光芒洞内深处似乎有什么东西在闪烁。,OnExpeditionReturn,0,0,5,-1,0,"深入探索(高风险):40%概率获得火晶x5或队伍受伤|谨慎搜索(低风险):获得煤矿x30|放弃探索:安全离开",""
event_shelter,废弃避难所,前方出现一座半坍塌的旧世界地下避难所。里面的发电机早已停转但黑暗中有物品堆积的轮廓。,OnExpeditionReturn,0,0,5,-1,0,"搜索物资:获得木材x40+生肉x20|发出信号(消耗铁x5):50%概率获得幸存的拾荒者|绕道离开:不消耗不获得",""
event_signal,信号塔,一座锈迹斑斑的信号塔矗立在山丘上。太阳能板已经损坏但天线似乎还能用。也许可以尝试发送求救信号。,OnExpeditionReturn,0,0,4,-1,0,"修复并发送求救(消耗铁x15):获得1位幸存者|搜索信号记录(消耗铁x5):获得魂石x3|继续赶路:不消耗",""
event_wild_fire,野火蔓延,附近的枯草丛意外起火。虽然火势不大但如果不控制可能蔓延到营地边缘。同时也许可以借机烧掉一些废弃的建筑材料变成煤矿。,Timer,8,25,8,3,0,"控制火势(消耗木材x20):获得煤矿x15|放任燃烧:什么都不做获得煤矿x30但伤害5名幸存者健康|灭火:消耗水x10(无此资源则跳过)",""
event_storm_damage,暴风雪过后的破坏,这场暴风雪给营地造成了不小的损失。几面墙壁被冰粒击穿有两个建筑的屋顶需要修补。,OnBuildingUpgrade,0,0,6,-1,0,"全面修复(消耗木材x30+铁x10):建筑完好|紧急修补(消耗木材x15):减少损失|不管:建筑生产效率临时-20%持续30分钟",""
event_mystic_trader,神秘的炼金术士,一位自称炼金术士的陌生人在营地外扎营。他声称能用煤矿换取火晶并且掌握着古人遗失的合成技术。,Timer,20,60,4,2,0,"向他学习(消耗煤矿x50+铁x20):解锁火晶合成配方|购买火晶(消耗煤矿x30):获得火晶x3|赶走他:什么都得不到",""
event_children,走失的孩子,一名幸存者焦急地报告他们的孩子失踪了。最后出现是在营地附近的森林边缘。那里有野兽出没。,Timer,10,30,7,3,0,"组织搜查队(消耗生肉x20+木材x20):找回孩子全员满意度+10|向森林中发射信号:消耗木材x5成功率50%|放弃搜查:满意度-20","你选择了放弃搜查。那名幸存者撕心裂肺的哭声萦绕在每个人的心头。全员满意度-20。"
event_treasure_map,藏宝图,一个疯疯颠颠的老拾荒者声称他有一张地图指向一处战前军火库的位置。只要你给他一点食物和柴薪他就把地图给你。,Timer,12,40,5,2,0,"交换地图(消耗生肉x30+木材x15):解锁特殊探险节点|拒绝交易:什么都不做|抢夺地图(暴力选项):获得地图但满意度-10",""
event_hero_visit,传说英雄的考验,一位自称""冰原猎手""的神秘人出现在营地。她说如果你能在30秒内回答她的三个问题她就愿意加入你的队伍。(随机问答事件),Timer,30,90,3,1,0,"接受考验:答对2/3则获得英雄|恭敬拒绝:什么都得不到|直接招募(消耗火晶x10):绕过考验直接获得",""
event_solar_flare,太阳风暴,天空中出现不祥的极光无线电设备发出刺耳的噪音。这种电磁风暴会影响营地的电子设备但也可能带来什么。,Timer,15,45,4,2,0,"关闭设备(消耗煤矿x10):保护设备安全|利用风暴(消耗铁x20):可能获得科技加成或设备损坏|什么都不做:随机设备损坏",""
