NodeId,DisplayName,Description,Column,Row,ColumnIndex,Prerequisites,ResearchCostWood,ResearchCostMeat,ResearchCostCoal,ResearchCostIron,ResearchTimeSec,EffectType,EffectValue,EffectTargetId
tech_dev_01,基础建造,加速建筑物升级时间10%,Development,1,0,,50,30,0,0,60,ProductionRate_All,0.10,
tech_dev_02,高级工具,加快生产建筑产出15%,Development,1,1,tech_dev_01,150,80,20,5,180,ProductionRate_All,0.15,
tech_dev_03,建筑优化,解锁建筑等级上限+2,Development,1,2,tech_dev_02,400,200,60,15,600,ProductionRate_All,0.20,
tech_dev_04,人口扩容I,幸存者上限+5,Development,2,0,tech_dev_01,100,50,10,5,120,SurvivorMaxCapacity_Bonus,5,
tech_dev_05,人口扩容II,幸存者上限+10,Development,2,1,tech_dev_04,300,150,50,15,360,SurvivorMaxCapacity_Bonus,10,
tech_dev_06,人口扩容III,幸存者上限+20,Development,2,2,tech_dev_05,800,400,150,40,1200,SurvivorMaxCapacity_Bonus,20,
tech_dev_07,高效仓储,仓库容量提升20%,Development,3,0,tech_dev_04,200,100,30,10,300,StorageCapacity_Bonus,0.20,
tech_dev_08,巨型仓储,仓库容量提升50%,Development,3,1,tech_dev_07,600,300,100,30,900,StorageCapacity_Bonus,0.50,
tech_dev_09,温度改良,熔炉每级额外升温+1度,Development,3,2,tech_dev_08,1500,800,300,100,2400,StorageCapacity_Bonus,0.80,
tech_dev_10,高效研究,研究速度提升25%,Development,4,0,tech_dev_07,300,150,50,20,600,ProductionRate_All,0.25,
tech_dev_11,医疗升级,医疗效率提升30%,Development,4,1,tech_dev_10,1000,500,200,60,1800,SurvivorEfficiency_Bonus,0.30,
tech_dev_12,扩容专家,全建筑等级上限+3,Development,4,2,tech_dev_11|tech_dev_03,3000,1500,600,200,5400,ProductionRate_All,0.30,
tech_combat_01,基础训练,盾兵伤害+15%,Combat,1,0,,80,50,10,5,90,CombatDamage_Bonus_TroopType,0.15,Shield
tech_combat_02,矛兵强化,矛兵伤害+15%,Combat,1,1,tech_combat_01,200,120,30,10,300,CombatDamage_Bonus_TroopType,0.15,Spear
tech_combat_03,射手精通,射手伤害+15%,Combat,1,2,tech_combat_02,500,250,80,25,900,CombatDamage_Bonus_TroopType,0.15,Archer
tech_combat_04,阵型训练,全兵种伤害+10%,Combat,2,0,tech_combat_01,150,100,20,10,240,CombatDamage_Bonus_TroopType,0.10,
tech_combat_05,防御工事,全兵种防御+15%,Combat,2,1,tech_combat_04,400,200,60,20,720,CombatDefense_Bonus_TroopType,0.15,
tech_combat_06,精锐部队,全兵种属性+15%,Combat,2,2,tech_combat_05|tech_combat_03,1200,600,200,60,2400,CombatDamage_Bonus_TroopType,0.15,
tech_combat_07,英雄训练,英雄经验获取+25%,Combat,3,0,tech_combat_04,200,100,30,10,360,HeroExpGain_Bonus,0.25,
tech_combat_08,战斗动员,训练速度+30%,Combat,3,1,tech_combat_07,600,300,100,30,1200,TrainingSpeed_Bonus,0.30,
tech_combat_09,战术大师,解锁特殊兵种技能,Combat,3,2,tech_combat_08|tech_combat_06,2000,1000,350,100,5400,UnlockRecipe,1.00,elite_troops
tech_combat_10,冰原适应性,探险食物消耗-20%,Combat,4,0,tech_combat_07,300,150,50,20,600,ExplorationFoodEfficiency,0.20,
tech_combat_11,暖炉效率,探险暖炉消耗-20%,Combat,4,1,tech_combat_10,800,400,150,50,1800,ExplorationWarmthEfficiency,0.20,
tech_combat_12,极地生存,探险全消耗-30%,Combat,4,2,tech_combat_11|tech_combat_09,2500,1200,400,150,7200,ExplorationFoodEfficiency,0.30,
tech_econ_01,基础经济,木材产出+15%,Economy,1,0,,60,40,5,0,120,ProductionRate_Building,0.15,Lumberyard
tech_econ_02,狩猎技巧,生肉产出+15%,Economy,1,1,tech_econ_01,150,80,20,5,300,ProductionRate_Building,0.15,HuntingHut
tech_econ_03,矿业开发,煤铁产出+15%,Economy,1,2,tech_econ_02,400,200,60,15,900,ProductionRate_Building,0.15,CoalMine|IronMine
tech_econ_04,采集效率I,全资源产出+10%,Economy,2,0,tech_econ_01,100,60,15,5,240,ProductionRate_All,0.10,
tech_econ_05,采集效率II,全资源产出+15%,Economy,2,1,tech_econ_04,300,150,50,15,720,ProductionRate_All,0.15,
tech_econ_06,采集效率III,全资源产出+20%,Economy,2,2,tech_econ_05|tech_econ_03,1000,500,150,50,2400,ProductionRate_All,0.20,
tech_econ_07,钢火熔炼,解锁钢材和火晶合成,Economy,3,0,tech_econ_04,500,300,150,50,0,UnlockRecipe,1.00,steel_fire_crystal
tech_econ_08,交易精通,游商价格优惠20%,Economy,3,1,tech_econ_07,800,400,200,80,1800,ProductionRate_All,0.05,
tech_econ_09,富矿开采,三级资源产出+30%,Economy,3,2,tech_econ_08|tech_econ_06,2500,1200,500,200,7200,ProductionRate_All,0.30,
tech_econ_10,幸存者赋能,幸存者效率加成+25%,Economy,4,0,tech_econ_07,600,300,100,40,1800,SurvivorEfficiency_Bonus,0.25,
tech_econ_11,完美效率,所有加成额外+10%,Economy,4,1,tech_econ_10,2000,1000,300,150,5400,ProductionRate_All,0.10,
tech_econ_12,终极产能,生产体系全面升级,Economy,4,2,tech_econ_11|tech_econ_09|tech_econ_06,5000,2500,800,400,14400,ProductionRate_All,0.25,
